EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
1	364.9957681496134	364.9957681496134
2	-10.0	369.036129444054
3	-12.0	372.86477721621617
4	13.0	376.7523002184002
5	-10.0	380.4265658771719
6	-19.0	384.37026856279994
7	71.0	388.4447157199999
8	298.0	391.65122799999995
9	127.0	392.59719999999993
10	27.0	395.28
11	127.0	399.71571
